,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10361,Stephen Lynch,Tattoo,21PsUTNJAY85BVpzI9qtOP,27,2012,comedy,0.737,0.364,9,-11.141,1,0.034,0.87,2.88e-06,0.125,0.493,126.965,258973,4
10362,Matt Braunger,The Hardest Job,4KltKa3S6qaw9N9yI8B9HK,23,2012,comedy,0.624,0.714,5,-7.321,1,0.84,0.819,0.0,0.758,0.617,96.311,90835,1
10363,Hannibal Buress,We Be Clubbing,2Y7jnBHFkK1MyhEQfi9T5l,23,2012,comedy,0.697,0.608,4,-8.065,1,0.949,0.866,0.0,0.45,0.513,73.285,203400,4
10364,Chad Daniels,Press Conference,2z6FOQAoBsroBifuk6J026,24,2012,comedy,0.615,0.717,6,-7.698,0,0.859,0.591,0.0,0.812,0.638,113.58,160821,5
10365,George Lopez,Drunk Wedding,5ZN1uAvjbKKoJKg1Iceu0M,23,2012,comedy,0.328,0.98,10,-6.174,0,0.866,0.917,2.91e-05,0.958,0.0387,79.087,130867,3
10366,Tenacious D,Flutes & Trombones,1ItI2m8vkVXEUiinnpjcph,30,2012,comedy,0.744,0.331,2,-10.981,0,0.941,0.6,0.0,0.15,0.53,48.616,88400,4
10367,Chad Daniels,Food Court,1vGTY3PnzNavOIaVwh5eiI,24,2012,comedy,0.574,0.822,11,-7.391,1,0.881,0.606,0.0,0.845,0.565,89.961,222888,3
10368,Amy Schumer,H.S. Crush,04eqCQrvJ1m94oFMnCBzsi,24,2012,comedy,0.504,0.937,11,-6.997,0,0.947,0.762,0.0,0.958,0.404,76.266,234781,3
10369,Chad Daniels,Laugh Coverers,6VclTaOSpQl216pzobu6ti,23,2012,comedy,0.578,0.899,11,-6.974,1,0.887,0.554,0.0,0.684,0.357,116.149,196859,5
10370,Tenacious D,Classical Teacher,6OKSnpoImX8CzhrzADerZg,30,2012,comedy,0.627,0.316,5,-11.375,1,0.959,0.687,0.0,0.645,0.555,82.335,203200,4
10371,Patrice O'Neal,Tolu,5mdQqoYKy3Y7m6r0IQUedT,21,2012,comedy,0.505,0.799,6,-10.36,0,0.879,0.918,1.76e-05,0.742,0.764,119.366,291217,3
10372,Froggy Fresh,Christmas,1WfGsQ85CKU1yOVHLpk3ab,24,2012,comedy,0.691,0.712,7,-5.381,0,0.0695,0.396,0.0,0.127,0.812,160.056,165625,4
10373,Chingo Bling,Aye Wey Wey,21LDwmMNxkKRHgilOFKl9H,25,2012,comedy,0.705,0.699,6,-4.958,1,0.353,0.3,0.0,0.572,0.716,77.808,98760,1
10374,Ryan Singer,Voice Inside My Brain Device,2EjARkJc8DzqiHzGCm06LB,23,2012,comedy,0.587,0.712,1,-7.502,1,0.814,0.859,0.0,0.703,0.879,87.51,63273,3
10375,Chad Daniels,KIDStd,1H8MfZ72mTHronmE5JXo5M,23,2012,comedy,0.593,0.853,6,-6.201,1,0.904,0.592,0.0,0.679,0.596,142.841,224560,3
10376,Matt Braunger,It's Spaghetti Time!,7vUU6vIdduXAN3BFw2VTQX,22,2012,comedy,0.585,0.793,5,-6.074,0,0.851,0.847,0.0,0.678,0.538,91.892,156041,3
10377,Chad Daniels,Inter8shul Rel8shunz,1GeMXuYKFwIt5EVbPcKQ7K,23,2012,comedy,0.616,0.829,6,-7.661,1,0.861,0.587,0.0,0.594,0.432,114.069,321829,3
10378,Chad Daniels,Canoe Trip,7Fe8VKfP0hbpjluWuVyQhB,23,2012,comedy,0.543,0.739,7,-7.38,1,0.946,0.58,0.0,0.714,0.471,66.728,270791,3
10379,George Lopez,Almost Swimming,6QR9wGm2OHOKexoFUGxEty,22,2012,comedy,0.47,0.98,6,-7.035,0,0.935,0.883,0.0,0.954,0.036,91.015,217013,4
10380,Patrice O'Neal,White Women Are Pleasant,6UmYNiiuqco2X16nYTPeVZ,21,2012,comedy,0.54,0.788,6,-11.459,0,0.929,0.886,1.32e-06,0.869,0.62,71.764,305043,4
10381,Kyle Kinane,Shout It out Loud,3Tyv6PsFbtVu0O3nbiXAND,22,2012,comedy,0.612,0.845,4,-4.979,1,0.937,0.805,0.0,0.713,0.311,119.3,267760,4
10382,George Lopez,Raising Our Kids,65Aw6RUKxnih7ChXas1kj5,21,2012,comedy,0.354,0.988,7,-6.024,1,0.932,0.876,4.63e-06,0.717,0.0348,53.056,280400,4
10383,Chad Daniels,He's Beige,0I5CrM4q85Zqh2xEYuz69H,22,2012,comedy,0.593,0.827,7,-7.172,1,0.875,0.618,0.0,0.719,0.599,106.747,203871,3
10384,Ari Shaffir,My Body Is Failing Me,3SIDmUJISs4QSvGRq393hh,23,2012,comedy,0.464,0.622,8,-10.55,1,0.927,0.89,0.0,0.81,0.478,35.889,70120,4
10385,Stephen Lynch,Let Me Inside,0SMocrB70ua90QQtE7CwJ3,24,2012,comedy,0.536,0.256,4,-14.547,1,0.0343,0.843,4.77e-05,0.128,0.626,159.803,207093,3
10386,Bret Ernst,Willie 'Blackie' Johnson,3hK57X5Ob6QP4xJpDFZvqR,22,2012,comedy,0.63,0.614,6,-8.141,1,0.932,0.851,0.0,0.962,0.541,80.019,120987,4
10387,Froggy Fresh,Best Friends,1YCpAturJtnkDNTHdqS12m,23,2012,comedy,0.844,0.55,10,-5.196,0,0.0863,0.499,1.68e-06,0.101,0.573,90.01,205561,4
10388,Kyle Kinane,Beth,2wPUZSVeVXmMWz1PMapwds,21,2012,comedy,0.582,0.823,6,-5.486,0,0.936,0.725,0.0,0.442,0.251,138.553,405000,4
10389,Amy Schumer,Drinking,0nwyoyNnPPZIB5ZzUpE5zc,22,2012,comedy,0.417,0.786,8,-10.179,0,0.95,0.83,0.0,0.959,0.447,74.079,240199,4
10390,Amy Schumer,Get Tested Denise,1zCepmRux5nS9xKJlfAiJT,22,2012,comedy,0.417,0.755,8,-10.036,0,0.957,0.862,0.0,0.759,0.448,66.041,261234,3
10391,Kyle Kinane,Rock and Roll Party,4TtnpuwIZzJML3vOOo7ecb,21,2012,comedy,0.538,0.889,9,-4.201,1,0.925,0.747,0.0,0.644,0.301,74.877,303547,3
10392,Patrice O'Neal,Race War,39T6B0DdQP1diXuWjVhSf1,20,2012,comedy,0.558,0.66,9,-11.166,1,0.928,0.891,0.0,0.139,0.794,87.248,401603,4
10393,The Toilet Bowl Cleaners,The Butt Song,27VurQunRryoVPbgl2rT69,22,2012,comedy,0.623,0.473,5,-11.293,1,0.0299,0.696,0.352,0.108,0.386,141.438,128573,4
10394,Froggy Fresh,Haters Wanna Be Me,5gzXReNOrEsugWNvcaaauh,22,2012,comedy,0.743,0.842,8,-6.264,1,0.261,0.386,0.0,0.105,0.526,90.019,151750,4
